id,total_rent,living_space,rooms,age,floor,zipcode,city,district,has_balcony,has_kitchen,has_cellar,has_elevator,needs_wbs
103576524,1058.0,71.22,2.0,35,2,14199,Berlin,Schmargendorf (Wilmersdorf),True,False,False,False,False
103592339,1300.0,55.0,2.0,53,1,10787,Berlin,Tiergarten (Tiergarten),True,True,True,True,False
103593273,2515.0,141.0,4.0,16,2,10115,Berlin,Mitte (Mitte),True,True,True,True,False
103593776,1240.0,50.0,2.0,None,1,10777,Berlin,Wilmersdorf (Wilmersdorf),True,True,True,True,False
103597649,2555.0,125.49,3.0,28,5,10785,Berlin,Tiergarten (Tiergarten),True,True,True,True,False
103610362,1841.63,121.16,4.0,118,None,10247,Berlin,Friedrichshain (Friedrichshain),True,False,False,False,False
103611472,2780.0,140.0,5.0,1,1,13156,Berlin,None,True,True,True,False,False
103611952,2170.0,120.03,2.0,11,0,10117,Berlin,Mitte (Mitte),True,True,False,False,False
103612344,1155.0,75.0,2.0,113,1,12169,Berlin,Steglitz (Steglitz),True,True,True,False,False
103612970,1538.0,115.84,4.0,23,None,13469,Berlin-Lübars,Lübars (Reinickendorf),True,False,False,False,False
103616292,1387.1,87.0,3.0,0,2,13088,Berlin,Weißensee (Weißensee),True,False,True,True,False
103617424,2315.0,111.5,3.0,3,4,10707,Berlin,Wilmersdorf (Wilmersdorf),True,False,True,True,False
103661221,1557.0,107.0,3.0,None,4,12555,Berlin,Köpenick (Köpenick),True,False,True,False,False
103695258,2100.0,114.0,4.0,0,2,14055,Berlin,Westend, Charlottenburg (Charlottenburg),True,True,True,True,False
103697216,654.0,20.5,1.0,1,2,13355,Berlin,Wedding (Wedding),False,True,True,True,False
103715205,1050.0,55.48,1.5,89,1,12045,Berlin,Neukölln (Neukölln),True,True,False,False,False
103715636,1935.9,81.0,2.5,118,5,14057,Berlin,None,True,True,False,True,False
103717479,763.0,69.06,2.0,66,2,13507,Berlin,Tegel (Reinickendorf),False,False,True,True,False
103718235,2500.0,100.0,3.0,118,5,14057,Berlin,Charlottenburg (Charlottenburg),True,True,False,True,False
103718299,3381.0,138.0,5.0,1,5,14057,Berlin,Charlottenburg (Charlottenburg),True,True,False,True,False
103718498,4490.0,190.0,5.0,118,5,14057,Berlin,Charlottenburg (Charlottenburg),True,True,False,True,False
